Generation,Food_Eaten_Gen,Top_Creature_Food_Eaten_Individual,Top_Creature_Energy_Individual,Top_Creature_Collisions_Individual,Top_Creature_Combined_Fitness,Num_Survivors,Population_Size_Start_Gen,Avg_Survivor_Energy,Total_Bursts_Activated_Gen,Total_Burst_Energy_Spent_Gen,Total_Collisions_Gen,Frames_This_Gen
0,13,4,34.45,1,37.45,7,26,24.56,67,670,3,500
1,10,2,34.35,0,36.35,12,42,18.38,8,80,282,500
2,32,3,34.40,0,37.40,15,50,26.67,0,0,0,500
3,26,2,30.05,0,32.05,15,50,25.60,0,0,0,500
4,23,2,34.35,0,36.35,14,48,27.42,0,0,136,500
5,29,3,33.20,1,35.20,15,50,27.05,0,0,0,500
6,37,2,33.45,0,35.45,15,50,26.83,0,0,0,500
7,38,3,33.50,0,36.50,14,49,28.04,3,30,1,500
8,39,3,32.40,0,35.40,15,50,26.70,0,0,0,500
9,32,3,33.50,0,36.50,15,50,26.70,0,0,0,500
10,29,3,31.80,0,34.80,15,50,25.82,0,0,0,500
11,40,4,33.90,1,36.90,14,49,28.44,0,0,68,500
12,33,4,32.30,0,36.30,14,50,26.09,0,0,0,500
13,40,3,34.90,0,37.90,15,50,29.85,0,0,0,500
14,34,2,33.95,0,35.95,15,50,26.04,0,0,0,500
15,35,2,33.45,0,35.45,15,50,26.70,0,0,0,500
16,31,2,33.80,0,35.80,14,50,27.08,0,0,0,500
17,26,2,34.85,0,36.85,15,50,25.24,0,0,0,500
18,33,3,34.80,0,37.80,15,50,27.57,0,0,0,500
19,42,4,33.65,0,37.65,15,50,28.65,0,0,0,500
20,33,2,34.75,0,36.75,15,50,27.26,0,0,0,500
21,28,3,34.90,0,37.90,15,50,28.04,0,0,0,500
22,35,3,33.45,1,35.45,15,50,27.54,0,0,0,500
23,43,4,34.20,0,38.20,15,50,30.23,0,0,0,500
24,30,2,33.45,0,35.45,15,50,26.07,0,0,0,500
25,29,2,33.90,0,35.90,15,50,26.83,0,0,0,500
26,24,2,34.25,0,36.25,15,50,25.14,0,0,0,500
27,37,5,34.90,0,39.90,15,50,26.79,0,0,0,500
28,37,3,34.45,0,37.45,15,50,28.30,0,0,0,500
29,47,4,34.05,0,38.05,14,49,28.56,0,0,68,500
30,33,3,31.95,0,34.95,15,50,26.77,0,0,0,500
31,32,3,34.95,0,37.95,15,50,28.20,0,0,0,500
32,41,6,34.15,0,60.15,15,50,26.20,0,0,0,500
33,30,2,32.80,0,34.80,14,50,26.22,0,0,0,500
34,39,2,33.95,0,35.95,14,50,27.77,0,0,0,500
35,44,6,35.00,0,66.00,14,49,27.96,0,0,68,500
36,32,3,31.10,0,34.10,14,50,25.67,0,0,0,500
37,31,2,32.55,0,34.55,13,50,25.56,0,0,0,500
38,29,2,34.25,1,35.25,14,50,24.91,0,0,0,500
39,25,3,34.10,0,37.10,15,50,25.48,0,0,0,500
40,43,4,32.65,0,36.65,13,50,27.80,0,0,0,500
41,20,2,33.40,0,35.40,14,49,25.45,0,0,68,500
42,23,2,29.70,0,31.70,14,50,23.52,0,0,0,500
43,35,2,34.95,0,36.95,15,50,27.55,0,0,0,500
44,51,4,35.00,0,39.00,15,50,30.85,0,0,0,495
45,43,2,35.00,0,37.00,15,50,28.44,0,0,0,500
46,36,3,34.45,0,37.45,14,47,28.66,0,0,204,500
47,46,2,34.55,0,36.55,15,50,29.42,0,0,0,500
48,29,6,34.50,0,40.50,13,47,26.70,0,0,204,500
49,46,3,34.40,0,37.40,15,50,28.90,0,0,0,500
50,48,2,34.65,0,36.65,15,50,29.37,0,0,0,500
51,34,3,34.85,0,37.85,15,50,27.18,0,0,0,500
52,20,2,34.60,0,36.60,15,50,25.31,0,0,0,500
53,42,5,32.75,0,37.75,14,50,28.44,0,0,0,500
54,42,3,33.80,0,36.80,15,50,28.96,0,0,0,500
55,32,3,33.50,0,36.50,15,50,26.07,0,0,0,500
56,42,6,33.20,0,39.20,14,50,28.45,0,0,0,500
57,34,5,32.45,0,37.45,15,50,27.27,0,0,0,500
58,33,5,33.75,0,38.75,15,50,26.28,0,0,0,500
59,36,3,34.30,0,37.30,15,50,28.11,0,0,0,500
60,27,4,32.90,0,36.90,15,50,27.42,0,0,0,500
61,27,3,33.35,0,36.35,13,45,26.62,0,0,340,500
62,46,5,33.20,0,38.20,15,50,28.49,0,0,0,500
63,30,3,29.40,0,32.40,15,50,25.24,0,0,0,500
64,43,6,34.95,0,40.95,15,50,29.03,0,0,0,500
65,37,3,34.90,0,37.90,15,50,27.37,0,0,0,500
66,29,2,30.90,0,32.90,15,50,25.98,0,0,0,500
67,35,2,33.50,0,35.50,15,50,26.68,0,0,0,500
68,23,3,34.60,0,37.60,15,50,26.73,0,0,0,500
69,34,3,34.35,0,37.35,15,50,27.84,0,0,0,500
70,45,5,33.85,0,38.85,14,47,29.12,0,0,204,500
71,46,5,34.35,0,39.35,15,50,30.17,0,0,0,500
72,37,4,31.85,0,35.85,15,50,25.52,0,0,0,500
